Despesa por função - transporte - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AL;2708303;São José da Laje;0;0;0;0;0;0;0;0;;;;
AL;2708402;São José da Tapera;290577;0;168432,17;24716;0;0;179643,03;5053949,62;7766484,8;1745503,44;1873295,12;
AL;2708501;São Luís do Quitunde;0;0;0;0;0;0;0;0;;;;
AL;2708600;São Miguel dos Campos;251743,66;255544,05;183793,85;622730,52;1179117,56;1255475,11;1380025,88;1532466,13;1913724,93;1855001,59;1941285,92;
AL;2708709;São Miguel dos Milagres;79095,9;54707,69;47351,86;937;0;0;133;0;;;;
AL;2708808;São Sebastião;0;0;0;0;0;0;0;0;;;;
AL;2708907;Satuba;0;0;0;0;0;0;0;;;520867,47;9145825,91;
AL;2708956;Senador Rui Palmeira;898452,78;928173,22;1072307,09;1000710,8;1188490,12;1514338,61;1563446,44;1878884,42;1864491,45;1463223,65;1424642,77;
AL;2709004;Tanque d'Arca;0;0;0;0;0;0;0;0;;;;
AL;2709103;Taquarana;36175,84;635646,01;2229309,75;1235030,87;1626199,42;1365802,16;1066578,14;497279,79;256421,38;282096,15;308159,26;
AL;2709152;Teotônio Vilela;;;1519863,76;2027069,94;0;3269636,37;7408954,2;9518450,92;;;;
AL;2709202;Traipu;0;0;0;0;0;0;742499,84;0;;;887,16;
AL;2709301;União dos Palmares;156275,33;242608,95;32081,65;213124,1;33776,36;178579,79;193687,45;216075,31;533241,35;909519,12;810273,47;
AL;2709400;Viçosa;471957,75;453217,34;1365703,67;1619712,28;2097210,67;1886501,76;2085545,61;2480247,02;2956530,73;3307482,02;3716881,48;
AM;1300029;Alvarães;261628,41;0;0;0;69667,78;0;0;0;;;;
AM;1300060;Amaturá;447931,15;416805,47;610547,8;0;257150;0;3113654,22;374734,16;524950,48;;;
AM;1300086;Anamã;75756,96;658650;621763,53;0;0;18100;176637,72;0;;91101,35;;
AM;1300102;Anori;0;0;0;0;0;0;0;;;;;
AM;1300144;Apuí;1667299,39;2434068,38;1965018,68;930134,23;2843313,79;1629577,95;863456,88;14812931,38;4297224,6;10578620,3;7059493,95;
