Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AL;2706109;Ouro Branco;2611508,67;4670629,54;5007722,42;3589458,5;4874813,45;5919263,37;10831602,84;6054669,81;8100054,34;8215493,86;8928639,04;
AL;2706208;Palestina;806084,85;1984941,29;2489167,86;2241562,45;1803922,46;2109888,9;2605281,46;3339571,06;6105555,24;5446528,65;6026877,55;
AL;2706307;Palmeira dos Índios;;8886947,45;8830722,45;10009569,13;14497779,72;13532311,32;15631963,77;17878333,06;25401479,3;41054910,07;26034452,99;
AL;2706406;Pão de Açúcar;15160,26;5177495,14;5091712,48;5502682,61;8910341,41;7466166,77;8191896,26;7258562,38;22128466,54;20293189,07;22481253,32;
AL;2706422;Pariconha;3190190,07;2467590,96;2326388,56;1837428,68;2336743,07;2954447,41;3102812,4;2999033,14;4783814,59;5932902,9;10068560,93;
AL;2706448;Paripueira;2471749,38;4029157,28;7348484,86;4323893,87;5587317,93;5970458,66;6385301,59;8417273,23;12867231,29;21889905,13;20435586,62;
AL;2706505;Passo de Camaragibe;2589588,75;3397623;5259972,55;3420756,68;4207177,28;5273247,56;314080,64;9711771,33;16407013,81;9496955,88;9989225,92;
AL;2706604;Paulo Jacinto;1783007,08;1727739,95;2377690,76;2747980,99;3061548,29;3988759,24;4341933,19;4321348,54;6350471,5;5831677,7;6895573,48;
AL;2706703;Penedo;10003219,98;7996420,01;12317258,14;12490023,55;4620209,81;0;14549744,18;14737840,45;24059327,63;21165015,26;26233668,8;
AL;2706802;Piaçabuçu;2556064,52;2852810,51;3270583,08;4463212,8;5603946,53;7353553,11;10447510,15;10962257,76;12872817,27;7147403,79;4711710,52;
AL;2706901;Pilar;14827698,28;12984546,29;15704153,75;13722212,11;15811220,73;18221072,34;25934939,45;34960529,12;44677385,07;33921130,05;;
AL;2707008;Pindoba;756618,47;728546,76;960419,18;1260938,21;1295810,77;951090,12;1582703,94;2033049,86;4273405,85;4206623,04;3541758,18;
AL;2707107;Piranhas;5849144,72;7316144,96;6518972,65;7614877,96;6585625,91;5755165,2;18372526,97;9028746,71;16100752,54;20937479,63;24456784,79;
AL;2707206;Poço das Trincheiras;1937185,93;2465754,51;3038790,39;1674534,62;2063645,38;1920895,74;2667581,58;3891921,8;8353054,14;11663590,98;8843588,67;
AL;2707305;Porto Calvo;5832073,08;7763779,4;1715084,24;6337617,46;6762632,56;7012175,22;6807797,75;7314562,84;13943900,98;21265183,97;8260424,45;
AL;2707404;Porto de Pedras;5473410,98;2226042,38;2775520,88;3437881,25;184989,24;5317522,95;5327635,41;10100058,61;27500700,7;12289665,74;15942586,16;
AL;2707503;Porto Real do Colégio;2938995,73;3775683,85;3659167,04;3711035,53;4048642,41;4536246,14;6198935,1;6038115,87;11130853,39;23485907,44;18908683,68;
AL;2707602;Quebrangulo;3696746,03;3680302,98;8393665,22;3974350,82;4331833,29;3895703,37;4816389,46;7530799,17;10851722,71;17504750,66;16939987,86;
AL;2707701;Rio Largo;12396387,82;14945733,93;14986963,26;20983259,21;31889739,57;34789778,62;31600474,37;31569542,07;42408021,32;38584125,82;31825656,41;
AL;2707800;Roteiro;94593,95;1883616,87;614224,96;28565,8;3136521,49;2853278,2;3195628,77;2009072,69;1654451,79;967700,83;15465002,01;
AL;2707909;Santa Luzia do Norte;1202212,05;1474083,65;1495618,1;3520674,41;2005237,09;6836940,49;8755997,59;10797587,44;13171037,02;13179810,66;23894940,39;
AL;2708006;Santana do Ipanema;6703926,74;5541437;9334981,3;8132133,83;14402309,66;11027410,04;14961318,31;18389535,05;24951000,62;44466059,02;46809869,34;
AL;2708105;Santana do Mundaú;551473,51;463301,03;1001018,68;1625853,53;1406694,18;2173952,48;5154575,16;6159299,42;6820603,51;8505228,86;11667280,05;
AL;2708204;São Brás;1483766,48;1493364,75;1067386,23;1422585,31;1858445,39;2412215,66;3516503,51;3092773,46;8732256,36;7178877;10147399,81;
AL;2708303;São José da Laje;3749092,15;4475059,79;6073362,59;6573009,2;6165853,55;6524448,16;8534359,18;10230131,58;14276739,33;15564723,73;16965712,48;
AL;2708402;São José da Tapera;7376168,15;5845437,45;9699778,1;6547250,44;8250084,13;8481472,41;8475657,93;5868314,92;12061263,96;29770623,35;11385893,66;
AL;2708501;São Luís do Quitunde;5982322,88;7324583,24;5219496,52;5535855;2797585,5;3280992,85;3816655,24;4415712,22;13627103,39;22389368,86;;
AL;2708600;São Miguel dos Campos;7138009,55;8196906,06;9728028,34;9533801,66;13241526,55;10702669,75;12400737,43;11206685,72;43278891,57;74236206,51;59860357,97;
AL;2708709;São Miguel dos Milagres;2208068,56;1386137,33;2180486,03;1455589,83;2517102,44;1772958,13;4383012,05;2456704,66;1157239,46;930441,36;500452,27;
AL;2708808;São Sebastião;6242326,71;7533400,71;8504974,89;8331300,18;9484506,37;9217574,03;12453117,39;15062115,77;19399129,17;19132686,63;25354222,62;
AL;2708907;Satuba;2467986,39;1779148,76;978758,28;856264,92;2144845,07;1716702,47;3357894,25;2501416,77;6736007,82;6445224,34;26933026,32;
AL;2708956;Senador Rui Palmeira;3380456,43;3576543,49;3671862,44;2429004,04;3035003,85;3360119;3906009,08;3992416,4;5703035,59;10332405,37;15470869,69;
AL;2709004;Tanque d'Arca;2254952,67;1927940,59;2093871,56;2401936,78;2131497,67;2617025,34;3277455,84;4612155,79;8467459,93;6522517,61;6046899,15;
AL;2709103;Taquarana;2798739,05;2365529,66;4426054,1;3981755,65;4512730,58;4674701,13;4065527,88;5441914,61;9693212,35;16924685,47;13524947,59;
AL;2709152;Teotônio Vilela;;;4517533,71;6084738,11;0;5586557,11;10553807,7;10480384,86;;2410338,65;3906174,18;
AL;2709202;Traipu;2231441,22;2494710,14;18571192,92;2748084,54;3511741,82;5000576,82;5842265,6;7560744,83;12842139,46;11946652,4;25930898,91;
AL;2709301;União dos Palmares;7424640,74;8472990,63;10913831,15;11916582,62;8921158,66;9042838,56;14556698,38;13882146,07;35430404,38;56977894,89;38463456,73;
AL;2709400;Viçosa;9467283,46;3763660,87;4217582,28;4349048,17;8559986,08;13585185,25;9096506,36;10360004,62;14014644,04;13532008,4;13702437,52;
