Municipio_ID;Municipio_Nome;Sigla_UF;Ano;PIB;Populacao;Receita_Corrente;Receita_Capital;Despesa_Total;Despesa_Assistencia_Previdencia;Despesa_Educacao_Cultura;Despesa_Saude_Saneamento;Despesa_Desportes_Lazer;Despesa_Seguranca_Defesa;Despesa_Trabalho;Despesa_Transporte;Despesa_Urbanismo_Habitacao
2204907;Isaías Coelho;PI;2014;43450000;8389;14430505,99;649178,25;14335231,83;569553,25;6568846,86;3740233,45;13887,40;0,00;0,00;21793,33;1034851,22
2205003;Itainópolis;PI;2014;62023000;11330;20920738,41;1877316,33;19997419,34;1125219,73;9271453,00;5147073,37;54380,62;1500,00;161265,50;225,00;313871,85
2205102;Itaueira;PI;2014;80836000;10818;20251901,76;2758070,99;18345465,00;394691,77;5594592,88;6161142,57;3783,60;0,00;0,00;11884,00;1220344,51
2205151;Jacobina do Piauí;PI;2014;35060000;5695;13278844,42;5678,00;11982531,86;865593,36;5193083,06;2488008,49;35628,70;0,00;0,00;179638,26;413936,59
2205201;Jaicós;PI;2014;124694000;18585;33243948,28;1414539,69;29775392,11;2586425,47;11495759,02;9211078,39;20277,71;0,00;161290,24;44883,52;497783,29
2205250;Jardim do Mulato;PI;2014;22714000;4402;9752869,22;747837,58;10369634,02;470023,01;3287606,11;3100794,07;224557,46;0,00;0,00;12175,00;747792,69
2205276;Jatobá do Piauí;PI;2014;31165000;4756;12742992,90;670107,36;12357683,53;626352,97;5993498,34;2468357,38;9972,00;0,00;0,00;0,00;501652,09
2205300;Jerumenha;PI;2014;36963000;4397;11108084,87;157551,88;10402578,45;387528,11;3684653,77;2454099,55;39049,80;0,00;0,00;0,00;395509,80
2205359;João Costa;PI;2014;18659000;2968;9743662,57;801549,26;9978556,88;546888,40;3100677,65;2277312,01;471461,06;0,00;0,00;14781,88;233543,05
2205409;Joaquim Pires;PI;2014;71230000;14059;23874717,18;0,00;23202103,57;971617,29;10930612,99;6703343,34;0,00;0,00;0,00;9100,07;962844,19
2205458;Joca Marques;PI;2014;26674000;5282;12341400,84;1202168,00;12635464,93;607141,40;6055072,03;2598587,64;13671,53;0,00;0,00;16440,79;923169,42
2205508;José de Freitas;PI;2014;256455000;38169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2205516;Juazeiro do Piauí;PI;2014;33130000;4837;12400020,91;966310,30;12136005,56;684571,11;5501399,32;2643274,63;101284,40;0,00;0,00;55392,00;934325,03
2205524;Júlio Borges;PI;2014;30583000;5496;12942048,47;254937,62;11846609,19;399752,87;5252049,60;2577097,05;45136,42;0,00;0,00;0,00;390505,13
2205532;Jurema;PI;2014;26622000;4641;12246497,77;1254536,05;14991110,90;958132,87;7421698,04;3200447,19;5914,00;0,00;0,00;348402,86;529039,78
2205540;Lagoinha do Piauí;PI;2014;15992000;2757;8357880,32;370762,18;7860264,20;499545,52;2665084,09;1656119,79;239025,02;0,00;0,00;61613,95;388209,07
2205557;Lagoa Alegre;PI;2014;39967000;8290;10960108,87;1381476,03;11160200,54;468231,26;3701465,20;3001801,31;230006,59;0,00;0,00;56981,03;1188080,00
2205565;Lagoa do Barro do Piauí;PI;2014;25973000;4570;11377959,74;1003705,56;11222421,98;676037,56;4460488,11;3041335,00;208460,94;0,00;0,00;53924,20;474563,12
2205573;Lagoa de São Francisco;PI;2014;33095000;6590;13790490,47;70325,15;12714581,11;521492,94;5978593,81;2703437,56;290770,31;0,00;0,00;90779,81;106531,91
2205581;Lagoa do Piauí;PI;2014;42993000;3963;11564196,26;565282,74;11402438,19;484491,00;4453371,80;2231576,14;53709,00;0,00;0,00;23224,00;475341,42
2205599;Lagoa do Sítio;PI;2014;27491000;5022;11391579,22;1382548,15;12558544,12;770264,53;5646762,49;2588834,47;73845,54;0,00;0,00;221955,00;199866,25
2205607;Landri Sales;PI;2014;58821000;5251;12838004,86;1259159,00;13635361,05;694209,54;4671189,25;4043158,88;193414,25;0,00;0,00;11502,68;1133090,54
2205706;Luís Correia;PI;2014;217377000;29415;50863761,99;352500,00;49675834,91;4440936,37;20933909,56;12137402,32;311424,46;0,00;0,00;0,00;1936123,57
2205805;Luzilândia;PI;2014;164110000;25028;42393447,09;1564247,23;43170267,60;2226512,18;22042072,46;8439777,37;5510,00;457992,32;0,00;310203,61;2142324,12
2205854;Madeiro;PI;2014;39190000;8075;14419338,38;1076787,86;14328205,17;441473,62;7506963,85;3317173,10;8344,90;0,00;0,00;118976,40;477791,61
2205904;Manoel Emídio;PI;2014;33685000;5262;13300529,72;469193,31;12909092,64;655719,07;4578118,93;3234864,33;359110,22;0,00;0,00;157533,90;1100344,52
2205953;Marcolândia;PI;2014;47836000;8186;16948576,31;515835,21;16264089,64;941306,00;7850070,44;3890639,98;24487,68;0,00;92858,00;111040,00;245817,97
2206001;Marcos Parente;PI;2014;28417000;4482;12050245,57;690000,00;10434001,32;904698,37;3246573,41;3580906,93;135999,07;0,00;0,00;7354,12;454528,37
2206050;Massapê do Piauí;PI;2014;29497000;6315;12176414,41;752187,76;12042770,97;634489,30;5024793,32;3458116,22;77471,09;0,00;0,00;0,00;562722,53
2206100;Matias Olímpio;PI;2014;61757000;10693;18465785,38;124800,54;17151201,95;794154,08;6866748,49;4410425,34;68120,30;0,00;0,00;0,00;64358,90
2206209;Miguel Alves;PI;2014;165354000;32993;50092515,60;1035697,23;49712882,23;1361086,86;28323005,54;11509689,42;61386,08;600,00;0,00;135572,49;1214913,43
2206308;Miguel Leão;PI;2014;14264000;1239;7763972,43;124080,00;6849849,22;382670,50;1651791,37;1769931,38;32852,00;0,00;0,00;38801,00;346458,05
2206357;Milton Brandão;PI;2014;34592000;6791;14635751,70;671766,00;14058190,22;431952,97;7274739,91;3048140,79;14066,75;0,00;0,00;123186,24;375199,81
2206407;Monsenhor Gil;PI;2014;82289000;10410;20515393,71;193189,22;20941533,07;841937,02;8368001,94;6249518,55;295418,09;0,00;0,00;5820,42;780293,53
2206506;Monsenhor Hipólito;PI;2014;40590000;7565;15212698,42;478445,83;14290768,50;854913,82;5948185,97;4230306,76;27770,22;2153,00;0,00;7765,00;456319,88
2206605;Monte Alegre do Piauí;PI;2014;100737000;10441;21611167,44;677553,19;20956944,82;569629,53;10678214,09;5114940,23;2840,00;0,00;0,00;52151,53;272515,58
2206654;Morro Cabeça no Tempo;PI;2014;23521000;4077;11955396,00;471025,13;10749350,07;402519,11;4831966,02;2366107,62;268340,17;0,00;0,00;82522,50;469528,58
2206670;Morro do Chapéu do Piauí;PI;2014;34885000;6641;14478057,31;547500,00;13190321,75;581114,98;6518264,83;2887966,08;50180,04;0,00;0,00;181613,88;402161,61
2206696;Murici dos Portelas;PI;2014;46937000;8846;15264311,97;1568356,41;15372676,84;762570,49;7565372,43;3290834,87;533828,97;0,00;0,00;52200,00;525375,76
2206704;Nazaré do Piauí;PI;2014;38483000;7279;13581586,79;479993,58;13513802,11;420825,42;5898922,43;3609712,00;13745,06;0,00;0,00;16140,89;494167,76
2206720;Nazária;PI;2014;57652000;8330;15138227,32;830586,64;15688236,53;503530,14;8511045,71;3012451,09;38767,38;0,00;0,00;14659,77;625704,32
